SSA,Age 
0.796875,4 Days 
0.84375,4 Days 
0.828125,4 Days 
0.835938,4 Days 
0.875,4 Days 
0.921875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.875,4 Days 
0.882812,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.867188,4 Days 
0.890625,4 Days 
0.898438,4 Days 
0.890625,4 Days 
0.882812,4 Days 
0.882812,4 Days 
,
,
,
,
,
,
,
,
,
,
0.890625,4 Days 
0.898438,4 Days 
0.898438,4 Days 
0.867188,4 Days 
0.867188,4 Days 
0.859375,4 Days 
0.867188,4 Days 
0.867188,4 Days 
0.867188,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.875,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.882812,4 Days 
0.890625,4 Days 
0.890625,4 Days 
0.882812,4 Days 
0.875,4 Days 
0.859375,4 Days 
0.859375,5 Days
0.867188,5 Days
0.851562,5 Days
0.84375,5 Days
0.859375,5 Days
0.851562,5 Days
0.835938,5 Days
0.835938,5 Days
0.851562,5 Days
0.804688,5 Days
0.820312,5 Days
0.828125,5 Days
0.828125,5 Days
0.84375,5 Days
0.820312,5 Days
0.820312,5 Days
,
0.835938,5 Days
0.84375,5 Days
0.835938,5 Days
0.835938,5 Days
0.835938,5 Days
0.828125,5 Days
0.835938,5 Days
0.890625,5 Days
0.890625,5 Days
0.875,5 Days
0.875,5 Days
0.867188,5 Days
0.875,5 Days
0.875,5 Days
0.867188,5 Days
0.867188,5 Days
0.859375,5 Days
0.875,5 Days
0.882812,5 Days
0.882812,5 Days
0.875,5 Days
0.875,5 Days
0.867188,5 Days
0.882812,5 Days
,
,
,
0.898438,5 Days
0.898438,5 Days
0.890625,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.859375,5 Days
0.851562,5 Days
0.84375,5 Days
0.851562,5 Days
,
,
,
0.875,5 Days
,
,
,
0.875,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.875,5 Days
0.875,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.875,5 Days
0.875,5 Days
0.882812,5 Days
0.945312,5 Days
0.890625,5 Days
0.875,5 Days
0.867188,5 Days
,5 Days
0.875,5 Days
0.875,5 Days
0.875,5 Days
0.875,5 Days
0.882812,5 Days
,
,
,
,
,
,
,
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.890625,5 Days
0.890625,5 Days
0.890625,5 Days
0.882812,5 Days
0.882812,5 Days
0.890625,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.875,5 Days
0.882812,5 Days
0.882812,5 Days
,
,
,
,
0.867188,5 Days
0.867188,5 Days
,
0.867188,5 Days
,
,
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.882812,5 Days
0.875,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
0.867188,5 Days
,5 Days
,5 Days
0.867188,5 Days
0.859375,5 Days
0.867188,5 Days
,5 Days
0.84375,5 Days
0.859375,6 Days 
0.890625,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.84375,6 Days 
0.859375,6 Days 
0.84375,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
0.851562,6 Days 
0.835938,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.851562,6 Days 
,
0.851562,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.8125,6 Days 
0.796875,6 Days 
,
0.851562,6 Days 
0.84375,6 Days 
0.835938,6 Days 
,
,
,
,
,
,
,
,
0.84375,6 Days 
0.84375,6 Days 
0.851562,6 Days 
0.828125,6 Days 
0.835938,6 Days 
0.835938,6 Days 
0.882812,6 Days 
0.835938,6 Days 
0.835938,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.882812,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.84375,6 Days 
0.828125,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.828125,6 Days 
0.828125,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.875,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
,
0.921875,6 Days 
,
,
0.875,6 Days 
0.875,6 Days 
0.882812,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.851562,6 Days 
,
0.867188,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.84375,6 Days 
,
0.859375,6 Days 
,
,
0.882812,6 Days 
0.882812,6 Days 
0.882812,6 Days 
0.890625,6 Days 
0.882812,6 Days 
,
,
,
,
,
,
,
,
,
,
,
,
0.867188,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
,
,
,
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
,
,
,
,
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.859375,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
,
,
,
0.875,6 Days 
0.882812,6 Days 
0.882812,6 Days 
0.867188,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
,
,
0.867188,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
,
,
,
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.882812,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.875,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.875,6 Days 
,
,
,
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.851562,6 Days 
0.84375,6 Days 
,
,
,
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.867188,6 Days 
,
,
,
,
1,6 Days 
1,6 Days 
1,6 Days 
1,6 Days 
1,6 Days 
1,6 Days 
,
,
,
,
,
0.84375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.859375,6 Days 
0.859375,6 Days 
0.851562,6 Days 
0.859375,6 Days 
,
,
,
0.867188,6 Days 
0.859375,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.867188,6 Days 
0.875,6 Days 
0.882812,6 Days 
0.875,6 Days 
0.890625,6 Days 
0.882812,6 Days 
0.867188,7 Days 
0.882812,7 Days 
0.867188,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.859375,7 Days 
,
0.867188,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.867188,7 Days 
0.882812,7 Days 
0.859375,7 Days 
0.84375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.828125,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.867188,7 Days 
0.882812,7 Days 
0.875,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.882812,7 Days 
0.875,7 Days 
0.875,7 Days 
0.875,7 Days 
0.875,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.859375,7 Days 
0.835938,7 Days 
0.828125,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.851562,7 Days 
0.828125,7 Days 
0.828125,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.828125,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.828125,7 Days 
0.835938,7 Days 
0.828125,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.835938,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.875,7 Days 
0.875,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.875,7 Days 
0.875,7 Days 
0.859375,7 Days 
0.835938,7 Days 
0.820312,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.84375,7 Days 
0.820312,7 Days 
0.859375,7 Days 
0.84375,7 Days 
0.828125,7 Days 
,
,
,
,
,
,
,
0.835938,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.851562,7 Days 
,
0.898438,7 Days 
0.867188,7 Days 
0.851562,7 Days 
,
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
,
0.867188,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.859375,7 Days 
,
,
,
,
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.898438,7 Days 
0.898438,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.851562,7 Days 
,
0.875,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.859375,7 Days 
,
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.875,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
,
,
,
,
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.84375,7 Days 
,
,
,
,
,
,
0.898438,7 Days 
0.921875,7 Days 
0.921875,7 Days 
0.921875,7 Days 
0.914062,7 Days 
0.929688,7 Days 
0.851562,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.835938,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.84375,7 Days 
0.851562,7 Days 
,
,
,
0.851562,7 Days 
0.859375,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.851562,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.867188,7 Days 
0.867188,7 Days 
0.859375,7 Days 
0.859375,7 Days 
0.867188,7 Days 
,
,
0.835938,7 Days 
0.859375,7 Days 
0.882812,7 Days 
0.875,7 Days 
0.875,7 Days 
,
,
,
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.890625,7 Days 
0.890625,7 Days 
0.890625,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.882812,7 Days 
0.859375,8 Days 
,
0.859375,8 Days 
0.859375,8 Days 
0.820312,8 Days 
0.835938,8 Days 
0.835938,8 Days 
0.835938,8 Days 
0.835938,8 Days 
0.859375,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.84375,8 Days 
0.851562,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.867188,8 Days 
0.859375,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.835938,8 Days 
0.859375,8 Days 
0.835938,8 Days 
0.8125,8 Days 
0.828125,8 Days 
0.84375,8 Days 
0.867188,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.867188,8 Days 
0.835938,8 Days 
0.828125,8 Days 
0.929688,8 Days 
0.851562,8 Days 
0.820312,8 Days 
0.8125,8 Days 
0.835938,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.851562,8 Days 
,
,
,
,
,
0.804688,8 Days 
0.820312,8 Days 
0.820312,8 Days 
0.84375,8 Days 
0.828125,8 Days 
,
,
,
,
,
,
0.828125,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.820312,8 Days 
0.828125,8 Days 
,
0.828125,8 Days 
0.828125,8 Days 
0.828125,8 Days 
,
0.804688,8 Days 
0.859375,8 Days 
0.875,8 Days 
0.898438,8 Days 
0.859375,8 Days 
0.84375,8 Days 
,
,
,
,
,
,
,
,
,
,
,
,
0.84375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.867188,8 Days 
0.867188,8 Days 
,
,
,
0.867188,8 Days 
0.867188,8 Days 
0.859375,8 Days 
0.84375,8 Days 
0.851562,8 Days 
0.867188,8 Days 
0.859375,8 Days 
0.851562,8 Days 
,
0.851562,8 Days 
0.867188,8 Days 
0.851562,8 Days 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.828125,8 Days 
0.828125,8 Days 
0.890625,8 Days 